title,streams,release_date,duration,artist_name
Shape Of You,3.238,6 January 2017,3:53,Ed Sheeran
Blinding Lights,3.157,29 November 2019,3:22,The Weeknd
Dance Monkey,2.654,10 May 2019,3:29,Tones And I
Rockstar,2.5,15 September 2017,3:38,Post Malone
Someone You Loved,2.473,8 November 2018,3:02,Lewis Capaldi
One Dance,2.411,5 April 2016,2:53,Drake
Sunflower,2.404,18 October 2018,2:38,Post Malone
Closer,2.361,31 August 2016,4:04,The Chainsmokers
Senorita,2.227,21 June 2019,3:10,Shawn Mendes
Believer,2.212,1 February 2017,3:24,Imagine Dragons
Perfect,2.161,3 March 2017,4:23,Ed Sheeran
Bad Guy,2.121,29 March 2019,3:14,Billie Eilish
Say You Won't Let Go,2.108,9 September 2016,3:31,James Arthur
Stay,2.094,9 July 2021,2:21,The Kid Laroi
Thinking Out Loud,2.066,20 June 2014,4:41,Ed Sheeran
Lucid Dreams,2.04,4 May 2018,3:59,Juice WRLD
God's Plan,2.012,19 January 2018,3:19,Drake
Don't Start Now,2.009,1 November 2019,3:03,Dua Lipa
Heat Waves,1.975,29 June 2020,3:58,Glass Animals
Starboy,1.956,21 September 2016,3:50,The Weeknd
Photograph,1.955,20 June 2014,4:19,Ed Sheeran
Watermelon Sugar,1.931,15 May 2020,2:54,Harry Styles
Lovely,1.925,19 April 2018,3:20,Billie Eilish
Bohemian Rhapsody,1.919,31 October 1975,5:54,Queen
Something Just Like This,1.91,22 February 2017,4:07,The Chainsmokers
SAD!,1.891,1 March 2018,2:46,XXXTENTACION
Shallow,1.89,27 September 2018,3:35,Lady Gaga
Love Yourself,1.877,9 November 2015,3:53,Justin Bieber
All of Me,1.844,12 August 2013,4:29,John Legend
Circles,1.841,30 August 2019,3:35,Post Malone
Take Me To Church,1.831,13 September 2013,4:01,Hozier
7 Rings,1.8,18 January 2019,2:58,Ariana Grande
Havana,1.799,3 August 2017,3:37,Camila Cabello
Goosebumps,1.797,2 September 2016,4:03,Travis Scott
XO Tour Llif3,1.754,24 March 2017,3:02,Lil Uzi Vert
Stressed Out,1.739,28 April 2015,3:22,Twenty One Pilots
Happier,1.725,17 August 2018,3:35,Marshmello
Humble,1.699,30 March 2017,2:57,Kindrick Lamar
Let Her Go,1.687,24 February 2012,3:37,Passenger
